name,parent,type,size
langrussianmodel.py,"['cli', 'metadata']",file,128035
codingstatemachine.py,"['cli', 'metadata']",file,3559
escprober.py,"['cli', 'metadata']",file,3864
universaldetector.py,"['cli', 'metadata']",file,13288
utf8prober.py,"['cli', 'metadata']",file,2709
gb2312freq.py,"['cli', 'metadata']",file,20735
mbcsgroupprober.py,"['cli', 'metadata']",file,2056
langgreekmodel.py,"['cli', 'metadata']",file,98484
eucjpprober.py,"['cli', 'metadata']",file,3676
jisfreq.py,"['cli', 'metadata']",file,25796
escsm.py,"['cli', 'metadata']",file,12021
langturkishmodel.py,"['cli', 'metadata']",file,95372
sbcharsetprober.py,"['cli', 'metadata']",file,6199
big5freq.py,"['cli', 'metadata']",file,31274
euckrfreq.py,"['cli', 'metadata']",file,13566
big5prober.py,"['cli', 'metadata']",file,1741
johabprober.py,"['cli', 'metadata']",file,1730
hebrewprober.py,"['cli', 'metadata']",file,13919
charsetgroupprober.py,"['cli', 'metadata']",file,3817
sbcsgroupprober.py,"['cli', 'metadata']",file,4129
jpcntx.py,"['cli', 'metadata']",file,26797
cli,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/chardet,dir,2406
metadata,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/chardet,dir,13280
__init__.py,[],file,0
chardetect.py,[],file,2406
__init__.py,[],file,0
languages.py,[],file,13280
labels.py,[],file,8979
mklabels.py,[],file,1305
x_user_defined.py,[],file,4307
__init__.py,[],file,10579
tests.py,[],file,6563
modeline.py,"['filters', 'lexers', 'formatters', 'styles']",file,986
console.py,"['filters', 'lexers', 'formatters', 'styles']",file,1697
scanner.py,"['filters', 'lexers', 'formatters', 'styles']",file,3092
formatter.py,"['filters', 'lexers', 'formatters', 'styles']",file,2917
token.py,"['filters', 'lexers', 'formatters', 'styles']",file,6184
style.py,"['filters', 'lexers', 'formatters', 'styles']",file,6257
util.py,"['filters', 'lexers', 'formatters', 'styles']",file,9110
sphinxext.py,"['filters', 'lexers', 'formatters', 'styles']",file,4630
cmdline.py,"['filters', 'lexers', 'formatters', 'styles']",file,23685
__init__.py,"['filters', 'lexers', 'formatters', 'styles']",file,2999
unistring.py,"['filters', 'lexers', 'formatters', 'styles']",file,63187
lexer.py,"['filters', 'lexers', 'formatters', 'styles']",file,32005
regexopt.py,"['filters', 'lexers', 'formatters', 'styles']",file,3072
plugin.py,"['filters', 'lexers', 'formatters', 'styles']",file,2591
filter.py,"['filters', 'lexers', 'formatters', 'styles']",file,1938
__main__.py,"['filters', 'lexers', 'formatters', 'styles']",file,353
filters,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/pygments,dir,40386
lexers,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/pygments,dir,134782
formatters,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/pygments,dir,135976
styles,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/pygments,dir,3419
__init__.py,[],file,40386
__init__.py,[],file,11174
python.py,[],file,53376
_mapping.py,[],file,70232
terminal.py,[],file,4674
html.py,[],file,35441
irc.py,[],file,5871
__init__.py,[],file,4810
other.py,[],file,5073
img.py,[],file,21938
terminal256.py,[],file,11753
rtf.py,[],file,5014
svg.py,[],file,7335
bbcode.py,[],file,3314
pangomarkup.py,[],file,2212
_mapping.py,[],file,4104
groff.py,[],file,5086
latex.py,[],file,19351
__init__.py,[],file,3419
build.py,['in_process'],file,3443
dirtools.py,['in_process'],file,607
check.py,['in_process'],file,6083
__init__.py,['in_process'],file,130
envbuild.py,['in_process'],file,6081
wrappers.py,['in_process'],file,12721
colorlog.py,['in_process'],file,3994
_compat.py,['in_process'],file,138
meta.py,['in_process'],file,2520
in_process,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/pep517,dir,11673
_in_process.py,[],file,10801
__init__.py,[],file,872
w64-arm.exe,[],file,168448
w32.exe,[],file,91648
locators.py,[],file,51991
metadata.py,[],file,39801
version.py,[],file,23513
compat.py,[],file,41259
index.py,[],file,20834
manifest.py,[],file,14811
util.py,[],file,66262
database.py,[],file,51697
t32.exe,[],file,97792
__init__.py,[],file,581
w64.exe,[],file,101888
markers.py,[],file,5058
resources.py,[],file,10820
t64-arm.exe,[],file,182784
scripts.py,[],file,18102
t64.exe,[],file,108032
wheel.py,[],file,43898
results.py,['diagram'],file,25341
unicode.py,['diagram'],file,10787
util.py,['diagram'],file,6805
actions.py,['diagram'],file,6426
__init__.py,['diagram'],file,9171
core.py,['diagram'],file,213344
common.py,['diagram'],file,12936
exceptions.py,['diagram'],file,9023
testing.py,['diagram'],file,13402
helpers.py,['diagram'],file,39129
diagram,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor/pyparsing,dir,23685
__init__.py,[],file,23685
